,BER
0,0.2528203125
1,0.2288359375
2,0.2122109375
3,0.1973671875
4,0.1803828125
5,0.16634375
6,0.1520546875
7,0.141890625
8,0.1314765625
9,0.124703125
10,0.1167265625
11,0.1073359375
12,0.1065234375
13,0.099375
14,0.0956484375
15,0.0931640625
