,BER
0,0.115953125
1,0.0981875
2,0.07503125
3,0.0589375
4,0.04259375
5,0.02659375
6,0.0165
7,0.00865625
8,0.00484375
9,0.002109375
10,0.000828125
11,0.000515625
12,0.000671875
13,0.00046875
14,0.0005625
15,0.000421875
