,BER
0,0.11734375
1,0.100421875
2,0.0779375
3,0.061953125
4,0.044140625
5,0.027
6,0.01671875
7,0.00815625
8,0.004234375
9,0.00196875
10,0.001640625
11,0.00034375
12,0.000515625
13,0.00059375
14,0.000359375
15,0.000390625
