,BER
0,0.241875
1,0.2213125
2,0.201484375
3,0.1851875
4,0.169375
5,0.15153125
6,0.13559375
7,0.120671875
8,0.105546875
9,0.09259375
10,0.0845
11,0.075078125
12,0.068234375
13,0.0631875
14,0.05896875
15,0.055796875
