,BER
0,0.246484375
1,0.22178125
2,0.211671875
3,0.1946875
4,0.176734375
5,0.162296875
6,0.1515
7,0.13896875
8,0.130203125
9,0.119203125
10,0.109171875
11,0.10165625
12,0.098640625
13,0.094453125
14,0.08975
15,0.090046875
