,BER
0,0.246078125
1,0.226890625
2,0.211015625
3,0.19196875
4,0.175375
5,0.161296875
6,0.14853125
7,0.137609375
8,0.126296875
9,0.1215
10,0.107984375
11,0.105703125
12,0.098625
13,0.09296875
14,0.089828125
15,0.08734375
